BARKOD,ADI,FIYAT
8693357317451,55373 DEM KULPLA CAY BARDAGI,518.0
8693357282599,55383 AYRAN BARDAK 2'Lİ,264.0
8693357062030,55411 KEYIF KUPLU CAY BARDAGI 6LI,360.0
8693357184831,55671 KULPLU BARDAK TELESKOPİK,492.0
8693357220805,55871 BARDAK KULPLU TELOSKOBİK,492.0
8693357424319,59006 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693357192386,59010 BORCAM KAPAKLI TENCERE 2.8LT,618.0
8693357424357,59034 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693357328389,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357328402,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357328426,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357328440,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357328464,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357328488,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693357004085,59062 BORCAM OVAL TENCERE KAPAKLI,236.0
8693357354098,59534 BORCAM YUVARLAK IZGARA TABAN,332.0
8693357354074,59554  BORCAM DIKTORGEN IIZGARA,584.0
8693357350588,59564 LOCK&STORE SAKLAMA KABI,210.0
8693357539570,59564 LOCK&STORE SAKLAMA KABI,210.0
8693357350601,59574 LOCK&STORE SAKLAMA KABI,212.0
8693357539594,59574 LOCK&STORE SAKLAMA KABI,212.0
8693357350625,59584 SAKLAMA KABI D.DÖRTGEN 3350CC,270.0
8693357539617,59584 SAKLAMA KABI D.DÖRTGEN 3350CC,270.0
8693357059115,62511 AİDA ÇAY BARDAK 6'LI 160CC51/I4OZ,260.0
8693357091238,62708 HOLIDAY 6LI BARDAK,625.0
8693357276147,62708 RAKI BARDAĞI,126.0
8693357255326,64031 BEYKOZ ÇAY BARDAĞI,344.0
8693357255364,64041 BEYKOZ ÇAY BARDAĞI 6'LI,50.0
8693357255340,64051 BEYKOZ CAY BARDAGI 6LI,378.0
8693357255401,64071 EMİRGAN BARDAK 6LI,378.0
6700000009174,6700000009167,44.0
292730015021,6760 BAHARAT TK. 6'LI BEYAZ,176.0
6700000008412,6760 BAHARAT TK. 6'LI BEYAZ,176.0
8693357097209,68008 F&D KASE GLAMOUR,94.0
8693357195073,68013 F&D MAJESTY BARDAK 6LI,280.0
8693357161078,68159 F&D GRACE MUMLUK 2Lİ,60.0
6700000003783,68159 F&D GRACE MUMLUK TEK,28.0
8693357158320,68218 F&D CHOCOLATE KASE,60.0
8693357158344,68228 F&D CHOCOLATE KASE,146.0
8693357158405,68238 F&D RATTAN KASE,12.0
8693357158382,68248 F&D RATTAN GONDOL KULPLU,130.0
8693357223974,68308 F&D BUZ KOVASI,76.0
8693357000162,80002 KAVANOZ,160.0
8693357064331,80005 PASABAHCE CAM KAVANOZ 3LT,332.0
8693357064348,80006 PASABAHCE CAM KAVANOZ 4LT,370.0
8693357064355,80007 PASABAHCE CAM KAVANOZ 5LT,408.0
8693357064362,80009 PASABAHCE CAM KAVANOZ 8LT,524.0
8693357091412,80052 FRİGO SÜRAHİ,18.0
8693357091825,80117 KAPAKLI SÜRAHİ,0.0
8680041005169,80218 KULPLU KAVONOZ BARDAK,30.0
8680041005176,80218 KULPLU KAVONOZ BARDAK,30.0
8693357361294,80229 YAĞLIK-SİRKELİK,442.0
8693357368378,80229 YAĞLIK-SİRKELİK,442.0
8693357361300,80230 HOMEMADE YAĞLIK-SİRKELİK,250.0
8693357331105,80326 ŞİŞE,36.0
8693357235885,80339 ŞİŞE AKRİLİK TURKUAZ,12.0
8693357304109,80342 SISE VIDALI KAPAK,194.0
8693357370340,80342 VİDALI ŞİŞE PEMBE,94.0
8693357328785,80386 BAHARATLIK KAPAKLI KAV. 3'LÜ,140.0
8693357371989,80388 PİPETLİ BARDAK,116.0
8693357372009,80388 PİPETLİ BARDAK,116.0
8693191190876,820160-SFO KARAF AĞZI VİDALI,118.0
8693357250062,820160-SFO KARAF AĞZI VİDALI,118.0
8693357174924,95040 AQUA FİNCAN TK.6LI,776.0
8693357284807,95040 FİNCAN TAKIMI 2LI,46.0
8693357370449,95198 COUNTRY SERVİS TABAK VE KAPAK,300.0
8693357203266,95198 PATİSSERİE SERVİS TABAK VE KAPAK,670.0
8693357372368,95198 ROSES SERVİS TABAK VE KAPAK,300.0
8693357370425,95200 COUNTRY AYAKLI SERVİS TABAK VE KAP,502.0
8693357203242,95200 PATİSSERİE AYAKLI SERVİS TABAK VE,1096.0
8693357372344,PASABAHCE 95200 ROSES AYAKLI FANUS,1096.0
8693357238923,95283 BASIC TENCR.KAPAKLI 2Lİ,172.0
8693357319745,95290 HANEDAN ÇAY SETİ 4PRÇ.,76.0
8693357264373,95307 FİNCAN TAKIMI,906.0
8693357224278,95467 AYAKLI ŞEKERLİK,334.0
8693357492202,95467 AYAKLI ŞEKERLİK,334.0
8693357341494,95483 HEYBELI CAY TAKIIMI,126.0
8693357231894,95485 BEYKOZ ZEMZEM TK. 7 PARÇA,76.0
8693357236301,95561 KAHVALTILIK TK.,30.0
8693357349025,95741 KAHVALTI ÇAY BARDAĞI,126.0
8693357270688,95833 AURORA AYAKLI ŞEKERLİK,480.0
8693357319905,95889 TOKİO KASE,74.0
8693357319929,95890 TOKİO KASE,94.0
8693357279193,95929 AURORA KASE TAKIMI1+6,126.0
8693357320321,95960 AQUA FİNCAN 2Lİ,72.0
8693357294233,95961 AURORA ÇAY BARDAK 6LI,710.0
8693357381452,95961 AURORA ÇAY BARDAK 6LI,710.0
8693357331839,96165 WHORKSHOP KULPLU BARDAK 2Lİ,54.0
8693357341432,96228 ÇAY BARDAĞI 6'LI,568.0
8693357348981,96262 DAMLA TANGO RAKI BARDAĞI,334.0
8693357354111,96266 SOSLUK,92.0
8693357354319,96273 LİMON SIKACAĞI,78.0
8693357372528,96293 ÇAY BARDAĞI SET 6'LI,126.0
8693357360297,96299 KOZAN ÇAY BARDAĞI TK.,118.0
8693357360358,96300 KOZAN ÇAY BARDAĞI 12PRÇ,664.0
8693357358324,96320 NATURAL 6'LI ÇAY BARDAĞI,74.0
8693357397712,96457 AYAKLI SERVİS MİNİ PATTİSERİE,328.0
8693357287167,97242 ŞEKERLİK DİAMOND KAPAKLI,562.0
8693357165434,97343 KAPAKLI TENCERE,138.0
8693357053274,97628 METAL TELLİ KAV.BÜYÜK,44.0
8693357346727,97872 KANDILLI 6+1 SET,240.0
8693357346741,97872 TARABYA 6+1 SET,240.0
8693357186460,98328 KOMİDİN SÜRAHİSİ,256.0
8693357320161,98328 KOMİDİN SÜRAHİSİ,256.0
8693357321168,98328 KOMİDİN SÜRAHİSİ,256.0
8693357370326,98328 KOMİDİN SÜRAHİSİ DESENLİ,48.0
8693357216136,98348 ŞEKERLİK DAPHNE,26.0
8693357340718,98537 BARREL BARDAK 12'Lİ COLOR,46.0
8693357097285,98555 F&D GLAMOUR ŞEKERLİK,94.0
8693357372818,98665 KAVANOZ DESENLİ,46.0
8693357372832,98666 KAVANOZ DESENLİ,72.0
8693357144903,98775 ŞEKERLİK,242.0
8693357362108,98872 KASE AYAKLI,184.0
8693357362208,98872 KASE AYAKLI,184.0
8693357159754,98929 F&D RATTAN AYAKLI KASE,128.0
8693357159693,98931 F&D CHOCOLATE KASE AYAKLI,146.0
8680858201600,A.ARSLAN 1. CAY KASIGI 6LI,115.0
8680858206568,A.ARSLAN 1. CAY KASIGI 6LI,115.0
8680858201679,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680858201730,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680858206650,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680858201594,A.ARSLAN 1. TATLI CATALI 6LI,130.0
8680858206551,A.ARSLAN 1. TATLI CATALI 6LI,130.0
8680858201587,A.ARSLAN 1. TATLI KASIGI 6LI,130.0
8680858206544,A.ARSLAN 1. TATLI KASIGI 6LI,130.0
8680858201723,A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ,130.0
8680858206537,A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ,130.0
8680858201570,A.ARSLAN 1. YEMEK CATALI  6LI,130.0
8680858206520,A.ARSLAN 1. YEMEK CATALI  6LI,130.0
8680858201563,A.ARSLAN 1. YEMEK KASIGI 6LI,130.0
8680858206513,A.ARSLAN 1. YEMEK KASIGI 6LI,130.0
8680858201556,A.ARSLAN CAY KASIKI 6LI,115.0
8680858201549,A.ARSLAN TATLI CATALI 6LI,170.0
8680858201532,A.ARSLAN TATLI KASIGI 6LI,170.0
8680858201662,A.ARSLAN YEMEK BICAGI 3LU,130.0
8680858201525,A.ARSLAN YEMEK CATALI 6LI,190.0
8680858201518,A.ARSLAN YEMEK KASIGI 6LI,190.0
6700000014413,"KORKMAZ A1297 LİNA 26-5,5 TAVA 2,5LT",165.0
6700000014406,"KORKMAZ A1297 LİNA 26*7,5 305LT BASIK TENCERE",308.0
6700000014390,"KORKMAZ A1297 LİNA 22*11 DERIN TENCERE BYK 3,8LT",220.0
6700000016806,KORKMAZ A2390 36 PARCA CKB SET,506.0
6700000016752,ABKA 49 İSPİR ALTIN 49PARÇA SU TAKIMI,3780.0
6700000007491,ABKA 01 TOPRAK KAHVE YANI SU BARDAGI,730.0
6700000006739,ABKA 101-204 ZEMZEM TK.HD YILDIZ,646.0
6700000001697,ABKA 101-244 ZEMZEM TK.BY MERVE ALTIN,646.0
6700000001703,ABKA 101-244 ZEMZEM TK.BY MERVE PLATİN,646.0
6700000001673,ABKA 101-244 ZEMZEM TK.VAV ALTIN,1800.0
6700000001680,ABKA 101-244 ZEMZEM TK.VAV PLATİN,646.0
6700000007484,ABKA 1551 BAKARA EZGI SEKERLIK PLATIN,898.0
6700000001512,ABKA 1551 BAKARA EZGİ ŞEKERLİK ALTIN,898.0
6700000014154,ABKA 1551 BAROK SEKERLIK,730.0
6700000001505,ABKA 1551 GÜLRU ŞEKERLİK ALTIN,842.0
6700000001475,ABKA 1551 KARE ŞEKERLİK,730.0
6700000007743,ABKA 1551 KAYA ALTIN ŞEKERLİK 3MM,842.0
6700000007750,ABKA 1551 KAYA PLATİN ŞEKERLİK 3MM,842.0
6700000001482,ABKA 1551 NERGİS ŞEKERLİK,730.0
6700000001499,ABKA 1551 OTTOMAN ŞEKERLİK BONCUK-PLATIN,730.0
6700000003080,ABKA 1551 RUMEYSA ŞEKERLİK PLATIN-ALTIN,730.0
6700000014079,ABKA 1551 SU DAMLASI SEKERLIK,730.0
6700000007767,ABKA 1551 YEB.İRİS ALTIN ŞEKERLİK,544.0
6700000001543,ABKA 20881 NERGİS ŞİŞE,972.0
6700000005411,ABKA 20881 OTTOMAN ŞİŞE BONCUK ALTIN&PLATİN,1644.0
6700000001550,ABKA 20888 KARE ŞİŞE YATIK,1858.0
6700000016738,ABKA 361-391 BAROK ÇAY TAKIMI RENKLİ,1778.0
6700000014109,ABKA 361-391 BAROK RENKLI CAY BARDAGI,1120.0
6700000007804,ABKA 361-391 İRİS ÇAY TK.TURKZ.ALTIN,1120.0
6700000014062,ABKA 361-391 SU DAMLASI CAY TAKIMI,1778.0
6700000007835,ABKA 361-391 TRN.DANTEL ALTIN 3MM ÇAY TK,860.0
6700000014093,ABKA 361-391 BAROK SADE CAY BARDAGI TKM,1244.0
6700000015823,ABKA 361*391 PRESTİJ ÇAY TAKIMI,814.0
6700000001666,ABKA 381-251 BAKARA EZGİ ÇAY TK.6LI,2434.0
6700000001611,ABKA 381-251 KARE İNCE BELLİ ÇAY TK.,1120.0
6700000007811,ABKA 381-251 KAYA ALTIN ÇAY TK.6LI,1372.0
6700000007828,ABKA 381-251 KAYA PLATİN ÇAY TK.6LI,1372.0
6700000001659,ABKA 381-251 LÜS.GÜLRU ALTIN ÇAY TK.6LI,1372.0
6700000001628,ABKA 381-251 NERGİS İNCE BELLİ ÇAY TK.,1120.0
6700000001635,ABKA 381-251 OTTOMAN İNCE BEL.ÇAY TK.,1778.0
6700000004094,ABKA 381-251 RUMEYSA İNCE BELL.ÇAY TK.,1120.0
6700000003073,ABKA 41013 KAR TANESI KAHVE SU BARD.6LI,784.0
6700000004070,ABKA 41013 KARE KAHVE SU BARDAĞI 6LI,1124.0
6700000004063,ABKA 41013 NERGİS KAHVE SU BARDAĞI 6LI,646.0
6700000004100,ABKA 41013 OTTOMAN KAHVE SU BARDAĞI 6LI,1124.0
6700000004087,ABKA 41013 RUMEYSA KAHVE SU BARD.PLT.6L,432.0
6700000001222,ABKA 41013 RUMEYSA KAHVE SU BARDAĞI 6LI,432.0
6700000007682,ABKA 420013 İRİS ALTIN ORTA BARDAK,1498.0
6700000001321,ABKA 420013 KARE ORTA BARDAĞI 6LI,1498.0
6700000016516,ABKA 420014 BAKARA EZGI TEK BARDAK KISA,228.0
6700000001376,ABKA 420014 BAKARA EZGİ KISA BARDAK ALTI,2360.0
6700000007477,ABKA 420014 KARE KISA BARDAK,1404.0
6700000001338,ABKA 420014 KARE KISA BARDAK 6LI,1028.0
6700000007699,ABKA 420014 KAYA ALTIN KISA BARDAK 3MM,2360.0
6700000007705,ABKA 420014 KAYA PLATİN KISA BARDAK 3MM,1288.0
6700000001369,ABKA 420014 LUST.GULRU KISA BARDK.ALTI,1404.0
6700000001345,ABKA 420014 NERGİS KISA BARDAK 6LI,1404.0
6700000001352,ABKA 420014 OTTOMAN KISA BARDAK 6LI,1404.0
6700000015793,ABKA 420014 PRESTİJ BARDAK,600.0
6700000005381,ABKA 420014 RUMEYSA KISA BARD.PLT.6LI,1404.0
6700000013997,ABKA 420014 RUMEYSA KISA BARDAK ALTIN,946.0
6700000001291,ABKA 420055 BAKARA EZGİ UZUN BARDAK 6LI,2426.0
6700000007675,ABKA 420055 İRİS UZUN BARDAK TURKUAZ ALTI,1592.0
6700000001253,ABKA 420055 KARE UZUN BARDAĞI 6LI,1028.0
6700000007668,ABKA 420055 KAYA ALTIN UZUN BARDAK 3MM,2426.0
6700000007651,ABKA 420055 KAYA PLATİN UZUN BARDAK 3MM,2426.0
6700000001284,ABKA 420055 LUST.GÜLRU ALTIN UZUN BARDA,1592.0
6700000001260,ABKA 420055 NERGİS UZUN BARDAK 6LI,1592.0
6700000001277,ABKA 420055 OTTOMAN UZUN BARDAK ALTIN&PLATİN,2426.0
6700000015786,ABKA 420055 PRESTİJ BARDAK,600.0
6700000005374,ABKA 420055 RUMEYSA UZUN BARDAK PLT.6LI,1028.0
6700000014000,ABKA 420055 RUMEYSA ALTIN UZUN BARDA,1028.0
6700000014048,ABKA 420055 SU DAMLASI  UZUN BARDAK,1592.0
6700000014147,ABKA 420055 UZUN BARDAK RENKLI,1498.0
6700000014130,ABKA 420055 BAROK UZUN BARDAK SADE,694.0
6700000016745,ABKA 42381 ÇAY BARDAĞI HÜMA SET 12PRÇ,1120.0
6700000001468,ABKA 440141 AYAKLI BRD.BAKARA 6LI DKR.EZ,2620.0
6700000001451,ABKA 440141 AYAKLI BRD.BAKARA 6LI EBY EZ,2620.0
6700000001383,ABKA 440141 AYAKLI BRD.KARE 6LI,2352.0
6700000007712,ABKA 440141 AYAKLI BRD.KAYA ALTIN 3MM,2620.0
6700000007729,ABKA 440141 AYAKLI BRD.KAYA PLATİN 3MM,2620.0
6700000001437,ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6,1186.0
6700000001420,ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6L,1186.0
6700000001390,ABKA 440141 AYAKLI BRD.NERGİS 6LI,1584.0
6700000001406,ABKA 440141 AYAKLI BRD.OTTOMAN ALTIN 6LI,2426.0
6700000001413,ABKA 440141 AYAKLI BRD.OTTOMAN PLATİN 6L,2352.0
