Stok ismi;Stok bar kodu;
59574 LOCK&STORE SAKLAMA KABI;8693357350601;212
59574 LOCK&STORE SAKLAMA KABI;8693357539594;212
59584 SAKLAMA KABI D.DÖRTGEN 3350CC;8693357350625;270
59584 SAKLAMA KABI D.DÖRTGEN 3350CC;8693357539617;270
62511 AİDA ÇAY BARDAK 6'LI 160CC51/I4OZ;8693357059115;260
62708 HOLIDAY 6LI BARDAK;8693357091238;625
62708 RAKI BARDAĞI;8693357276147;126
64031 BEYKOZ ÇAY BARDAĞI;8693357255326;344
64041 BEYKOZ ÇAY BARDAĞI 6'LI;8693357255364;50
64051 BEYKOZ CAY BARDAGI 6LI;8693357255340;378
64071 EMİRGAN BARDAK 6LI;8693357255401;378
6700000009167;6700000009174;44
6760 BAHARAT TK. 6'LI BEYAZ;292730015021;176
6760 BAHARAT TK. 6'LI BEYAZ;6700000008412;176
68008 F&D KASE GLAMOUR;8693357097209;94
68013 F&D MAJESTY BARDAK 6LI;8693357195073;280
68159 F&D GRACE MUMLUK 2Lİ;8693357161078;60
68159 F&D GRACE MUMLUK TEK;6700000003783;28
68218 F&D CHOCOLATE KASE;8693357158320;60
68228 F&D CHOCOLATE KASE;8693357158344;146
68238 F&D RATTAN KASE;8693357158405;12
68248 F&D RATTAN GONDOL KULPLU;8693357158382;130
68308 F&D BUZ KOVASI;8693357223974;76
80002 KAVANOZ;8693357000162;160
80005 PASABAHCE CAM KAVANOZ 3LT;8693357064331;332
80006 PASABAHCE CAM KAVANOZ 4LT;8693357064348;370
80007 PASABAHCE CAM KAVANOZ 5LT;8693357064355;408
80009 PASABAHCE CAM KAVANOZ 8LT;8693357064362;524
80052 FRİGO SÜRAHİ;8693357091412;18
80117 KAPAKLI SÜRAHİ;8693357091825;0
80218 KULPLU KAVONOZ BARDAK;8680041005169;30
80218 KULPLU KAVONOZ BARDAK;8680041005176;30
80229 YAĞLIK-SİRKELİK;8693357361294;442
80229 YAĞLIK-SİRKELİK;8693357368378;442
80230 HOMEMADE YAĞLIK-SİRKELİK;8693357361300;250
80326 ŞİŞE;8693357331105;36
80339 ŞİŞE AKRİLİK TURKUAZ;8693357235885;12
80342 SISE VIDALI KAPAK;8693357304109;194
80342 VİDALI ŞİŞE PEMBE;8693357370340;94
80386 BAHARATLIK KAPAKLI KAV. 3'LÜ;8693357328785;140
80388 PİPETLİ BARDAK;8693357371989;116
80388 PİPETLİ BARDAK;8693357372009;116
820160-SFO KARAF AĞZI VİDALI;8693191190876;118
820160-SFO KARAF AĞZI VİDALI;8693357250062;118
95040 AQUA FİNCAN TK.6LI;8693357174924;776
95040 FİNCAN TAKIMI 2LI;8693357284807;46
95198 COUNTRY SERVİS TABAK VE KAPAK;8693357370449;300
95198 PATİSSERİE SERVİS TABAK VE KAPAK;8693357203266;670
95198 ROSES SERVİS TABAK VE KAPAK;8693357372368;300
95200 COUNTRY AYAKLI SERVİS TABAK VE KAP;8693357370425;502
95200 PATİSSERİE AYAKLI SERVİS TABAK VE;8693357203242;1096
PASABAHCE 95200 ROSES AYAKLI FANUS;8693357372344;1096
95283 BASIC TENCR.KAPAKLI 2Lİ;8693357238923;172
95290 HANEDAN ÇAY SETİ 4PRÇ.;8693357319745;76
95307 FİNCAN TAKIMI;8693357264373;906
95467 AYAKLI ŞEKERLİK ;8693357224278;334
95467 AYAKLI ŞEKERLİK ;8693357492202;334
95483 HEYBELI CAY TAKIIMI;8693357341494;126
95485 BEYKOZ ZEMZEM TK. 7 PARÇA;8693357231894;76
95561 KAHVALTILIK TK.;8693357236301;30
95741 KAHVALTI ÇAY BARDAĞI;8693357349025;126
95833 AURORA AYAKLI ŞEKERLİK;8693357270688;480
95889 TOKİO KASE;8693357319905;74
95890 TOKİO KASE;8693357319929;94
95929 AURORA KASE TAKIMI1+6;8693357279193;126
95960 AQUA FİNCAN 2Lİ;8693357320321;72
95961 AURORA ÇAY BARDAK 6LI;8693357294233;710
95961 AURORA ÇAY BARDAK 6LI;8693357381452;710
96165 WHORKSHOP KULPLU BARDAK 2Lİ;8693357331839;54
96228 ÇAY BARDAĞI 6'LI;8693357341432;568
96262 DAMLA TANGO RAKI BARDAĞI;8693357348981;334
96266 SOSLUK;8693357354111;92
96273 LİMON SIKACAĞI;8693357354319;78
96293 ÇAY BARDAĞI SET 6'LI;8693357372528;126
96299 KOZAN ÇAY BARDAĞI TK.;8693357360297;118
96300 KOZAN ÇAY BARDAĞI 12PRÇ;8693357360358;664
96320 NATURAL 6'LI ÇAY BARDAĞI;8693357358324;74
96457 AYAKLI SERVİS MİNİ PATTİSERİE;8693357397712;328
97242 ŞEKERLİK DİAMOND KAPAKLI;8693357287167;562
97343 KAPAKLI TENCERE;8693357165434;138
97628 METAL TELLİ KAV.BÜYÜK;8693357053274;44
97872 KANDILLI 6+1 SET;8693357346727;240
97872 TARABYA 6+1 SET;8693357346741;240
98328 KOMİDİN SÜRAHİSİ;8693357186460;256
98328 KOMİDİN SÜRAHİSİ;8693357320161;256
98328 KOMİDİN SÜRAHİSİ;8693357321168;256
98328 KOMİDİN SÜRAHİSİ DESENLİ;8693357370326;48
98348 ŞEKERLİK DAPHNE;8693357216136;26
98537 BARREL BARDAK 12'Lİ COLOR;8693357340718;46
98555 F&D GLAMOUR ŞEKERLİK;8693357097285;94
98665 KAVANOZ DESENLİ;8693357372818;46
